index,lead,feature,smd,n_positive,n_negative,abs_smd,stable_stratum
^HSI_data,1,max20,0.04291618867162053,12,36,0.04291618867162053,True
^HSI_data,5,level,-0.07074087556189909,12,36,0.07074087556189909,True
^HSI_data,5,mean5,0.08198827096538072,12,36,0.08198827096538072,True
^HSI_data,5,mean20,0.09438645535271885,12,36,0.09438645535271885,True
^HSI_data,5,slope5,0.01037077286762274,12,36,0.01037077286762274,True
^HSI_data,5,slope20,0.03237286712098548,12,36,0.03237286712098548,True
^HSI_data,5,std20,0.006879801983049597,12,36,0.006879801983049597,True
^HSI_data,5,max20,0.22738432721691546,12,36,0.22738432721691546,True
^HSI_data,10,level,0.020645154034928524,12,36,0.020645154034928524,True
^HSI_data,10,mean5,0.05554450479030368,12,36,0.05554450479030368,True
^HSI_data,10,mean20,-0.07060177239480205,12,36,0.07060177239480205,True
^HSI_data,10,slope5,0.16071755750813957,12,36,0.16071755750813957,True
^HSI_data,10,slope20,-0.2576558642436731,12,36,0.2576558642436731,True
^HSI_data,10,std20,0.08727837899960567,12,36,0.08727837899960567,True
^HSI_data,10,max20,0.1718472382355949,12,36,0.1718472382355949,True
^IPSA_data,1,level,-0.04468936426193986,8,24,0.04468936426193986,True
^IPSA_data,1,mean5,-0.004468636733126361,8,24,0.004468636733126361,True
^IPSA_data,1,mean20,-0.1406001928471074,8,24,0.1406001928471074,True
^IPSA_data,1,slope5,-0.11738751887723133,8,24,0.11738751887723133,True
^IPSA_data,1,slope20,-0.16117533628441638,8,24,0.16117533628441638,True
^IPSA_data,1,std20,0.07768265159825985,8,24,0.07768265159825985,True
^IPSA_data,1,max20,-0.06098647972983591,8,24,0.06098647972983591,True
^IPSA_data,5,level,-0.07027259867999698,8,24,0.07027259867999698,True
^IPSA_data,5,mean5,0.1430558642496777,8,24,0.1430558642496777,True
^IPSA_data,5,mean20,0.09522274197683989,8,24,0.09522274197683989,True
^IPSA_data,5,slope5,-0.04565309941370083,8,24,0.04565309941370083,True
^IPSA_data,5,slope20,0.12096909108048659,8,24,0.12096909108048659,True
^IPSA_data,5,std20,-0.03954893079727318,8,24,0.03954893079727318,True
^IPSA_data,5,max20,-0.0541318719872583,8,24,0.0541318719872583,True
^IPSA_data,10,level,-0.0010291027635494884,8,24,0.0010291027635494884,True
^IPSA_data,10,mean5,0.0835169528365764,8,24,0.0835169528365764,True
